id,Treatment,Date,CO2,N2O,CH4
104,Control,3/1/2023,2.970839278,-2.458374331,-3.21E-05
202,Control,3/1/2023,0.091894343,-1.586564005,-0.002438724
302,Control,3/1/2023,8.849610295,-0.890482564,-0.00087414
404,Control,3/1/2023,5.544734842,-3.044260004,1.48E-05
501,Control,3/1/2023,14.06032929,-2.143353463,-0.000860599
604,Control,3/1/2023,5.044937781,-0.02687549,-0.000192497
104,Control,3/6/2023,7.656393523,5.689925085,0.00083186
202,Control,3/6/2023,4.574825595,-4.90E-14,-0.002316213
302,Control,3/6/2023,9.184317431,0.958912311,-0.001588807
404,Control,3/6/2023,9.597194737,-3.501143328,-0.003368691
501,Control,3/6/2023,8.589345779,-1.79526258,-0.000440579
604,Control,3/6/2023,5.240159889,5.421519221,-0.000594765
104,Control,3/13/2023,13.62159633,4.949569336,-0.000546171
202,Control,3/13/2023,3.459672251,-1.000225134,-0.000296131
302,Control,3/13/2023,6.161854935,7.199112562,-0.001121179
404,Control,3/13/2023,4.818593995,0.057171496,0.000211746
501,Control,3/13/2023,3.382381443,-2.205247093,0.000280949
604,Control,3/13/2023,6.357714116,-2.295934683,0.000302495
104,Control,3/21/2023,2.970839278,-2.458374331,-3.21E-05
202,Control,3/21/2023,0.091894343,-1.586564005,-0.002438724
302,Control,3/21/2023,8.849610295,-0.890482564,-0.00087414
404,Control,3/21/2023,5.544734842,-3.044260004,1.48E-05
501,Control,3/21/2023,14.06032929,-2.143353463,-0.000860599
604,Control,3/21/2023,5.044937781,-0.02687549,-0.000192497
104,Control,3/27/2023,8.242974792,9.758245953,0.000264066
202,Control,3/27/2023,8.86683159,-1.261436569,0.000803975
302,Control,3/27/2023,5.464795777,0.540271112,0.000370316
404,Control,3/27/2023,7.100344301,-2.619138623,-0.00057749
501,Control,3/27/2023,5.927351197,-2.346192294,5.16E-05
604,Control,3/27/2023,8.13850843,3.906718898,-0.000365744
103,DAP,3/1/2023,18.53176589,-2.59500465,-0.001823455
201,DAP,3/1/2023,0.540264731,-0.878667249,-0.002049649
303,DAP,3/1/2023,13.80674804,-4.605363984,-0.001323559
401,DAP,3/1/2023,6.025966432,3.704309408,-0.001477109
502,DAP,3/1/2023,13.10324283,1.199208914,0.000252678
602,DAP,3/1/2023,12.84433379,6.603849569,0.000350825
103,DAP,3/6/2023,8.384642991,2.168999934,-0.002401919
201,DAP,3/6/2023,8.488722185,-1.06490386,-0.00152508
303,DAP,3/6/2023,7.257799927,-2.830914164,-0.003864482
401,DAP,3/6/2023,11.19831423,2.513951121,-0.001559111
502,DAP,3/6/2023,5.871607339,0.962357918,-0.002438724
602,DAP,3/6/2023,13.14335807,9.19956283,-0.002128341
103,DAP,3/13/2023,13.10602571,1.191172095,-0.000893424
201,DAP,3/13/2023,8.678376684,-1.581917115,-0.000205695
303,DAP,3/13/2023,5.603304848,-4.976445254,-0.001843128
401,DAP,3/13/2023,5.678330336,14.04603328,0.001545218
502,DAP,3/13/2023,3.378262497,0.167525392,-0.001219362
602,DAP,3/13/2023,6.963068696,4.237406971,-0.000934142
103,DAP,3/21/2023,18.53176589,-2.59500465,-0.001823455
201,DAP,3/21/2023,0.540264731,-0.878667249,-0.002049649
303,DAP,3/21/2023,13.80674804,-4.605363984,-0.001323559
401,DAP,3/21/2023,6.025966432,3.704309408,-0.001477109
502,DAP,3/21/2023,13.10324283,1.199208914,0.000252678
602,DAP,3/21/2023,12.84433379,6.603849569,0.000350825
103,DAP,3/27/2023,10.14302511,0.964151925,-0.000756319
201,DAP,3/27/2023,4.2445983,-2.484775673,-0.001517713
303,DAP,3/27/2023,6.166515118,0.369249674,-0.001383132
401,DAP,3/27/2023,6.22860524,2.555283006,-0.000444508
502,DAP,3/27/2023,7.211472817,-0.060642676,-0.000614084
602,DAP,3/27/2023,21.08327604,7.530028618,0.002570283
101,Struvite,3/1/2023,10.3782526,2.380230316,-0.00147035
203,Struvite,3/1/2023,6.385862621,-0.948766522,-0.001131889
304,Struvite,3/1/2023,6.31110615,0.298562257,-0.000936817
403,Struvite,3/1/2023,8.645761529,1.748807482,-0.0017328
503,Struvite,3/1/2023,2.402164973,-2.071900946,-0.000691566
601,Struvite,3/1/2023,66.74769594,53.07257158,0.03294026
101,Struvite,3/6/2023,15.10603212,-4.542941458,-0.003260708
203,Struvite,3/6/2023,6.18609529,1.329738408,-0.000407021
304,Struvite,3/6/2023,10.46362034,-4.027414279,-0.002804034
403,Struvite,3/6/2023,10.05731848,-6.540334843,-0.00478139
503,Struvite,3/6/2023,2.982977333,2.200112638,-0.001535432
601,Struvite,3/6/2023,7.065474739,11.4367757,-0.000228394
101,Struvite,3/13/2023,10.0645892,-6.770162757,-0.000274564
203,Struvite,3/13/2023,4.084077014,-5.202097832,-0.000516917
304,Struvite,3/13/2023,4.274012081,-1.397525459,-0.004940747
403,Struvite,3/13/2023,7.02665475,4.333555197,0.001728484
503,Struvite,3/13/2023,4.351011772,-2.551412675,-0.000707107
601,Struvite,3/13/2023,4.442998994,7.282191873,-0.001749545
101,Struvite,3/21/2023,10.3782526,2.380230316,-0.00147035
203,Struvite,3/21/2023,6.385862621,-0.948766522,-0.001131889
304,Struvite,3/21/2023,6.31110615,0.298562257,-0.000936817
403,Struvite,3/21/2023,8.645761529,1.748807482,-0.0017328
503,Struvite,3/21/2023,2.402164973,-2.071900946,-0.000691566
601,Struvite,3/21/2023,6.674769594,53.07257158,0.03294026
101,Struvite,3/27/2023,15.73067961,3.841434014,0.000793238
203,Struvite,3/27/2023,7.477890981,2.912969647,-0.000663075
304,Struvite,3/27/2023,6.009187926,1.46349257,-0.002134738
403,Struvite,3/27/2023,6.362316844,3.346325167,0.001020513
503,Struvite,3/27/2023,12.36525077,-1.964203125,-0.000650124
601,Struvite,3/27/2023,10.98692471,3.198601639,0.001123795
102,Synchro,3/1/2023,6.975952474,0.445241282,0.000221702
204,Synchro,3/1/2023,5.842667974,-2.267314032,-0.000175221
301,Synchro,3/1/2023,12.19936548,0.175052689,-0.000766224
402,Synchro,3/1/2023,3.174316221,0.964769842,-0.001946594
504,Synchro,3/1/2023,5.933145848,-1.681637778,-0.001973972
603,Synchro,3/1/2023,3.320308654,0.402951033,-0.001261766
102,Synchro,3/6/2023,6.325085603,-1.48309244,-0.00148646
204,Synchro,3/6/2023,11.81461426,1.412184817,-0.00115498
301,Synchro,3/6/2023,20.46879687,-3.384027821,-0.004427071
402,Synchro,3/6/2023,13.40423933,12.06541165,-0.000842468
504,Synchro,3/6/2023,6.764410462,3.815667997,-0.002485345
603,Synchro,3/6/2023,4.710489106,3.544625917,-0.000158738
102,Synchro,3/13/2023,3.064738028,-0.243897262,-0.000903323
204,Synchro,3/13/2023,5.439916057,-2.582926519,-0.0007033
301,Synchro,3/13/2023,15.76393277,-0.399825205,-0.001046032
402,Synchro,3/13/2023,6.414110894,0.940373934,-0.001480654
504,Synchro,3/13/2023,5.912271552,0.149734871,-0.000992803
603,Synchro,3/13/2023,4.806015327,9.167135993,-0.005037295
102,Synchro,3/21/2023,6.975952474,0.445241282,0.000221702
204,Synchro,3/21/2023,5.842667974,-2.267314032,-0.000175221
301,Synchro,3/21/2023,12.19936548,0.175052689,-0.000766224
402,Synchro,3/21/2023,3.174316221,0.964769842,-0.001946594
504,Synchro,3/21/2023,5.933145848,-1.681637778,-0.001973972
603,Synchro,3/21/2023,3.320308654,0.402951033,-0.001261766
102,Synchro,3/27/2023,3.20159513,1.273496192,-0.000911172
204,Synchro,3/27/2023,11.96097154,4.620140986,0.00056515
301,Synchro,3/27/2023,12.78835272,-4.235302565,-2.70E-05
402,Synchro,3/27/2023,6.025080855,-1.606341787,-0.000411733
504,Synchro,3/27/2023,9.660054833,2.672889602,-0.000357846
603,Synchro,3/27/2023,2.799964682,5.78696294,0.000996684
104,Control,4/3/2023,18.13833987,1.772316378,0.000846985
202,Control,4/3/2023,30.87279895,4.042707229,0.006127425
302,Control,4/3/2023,30.87279895,4.042707229,0.006127425
404,Control,4/3/2023,18.13833987,1.772316378,0.000846985
501,Control,4/3/2023,27.31259291,-6.224095618,-0.000444508
604,Control,4/3/2023,18.13833987,1.772316378,0.000846985
104,Control,4/10/2023,18.92587012,-0.129490995,-0.00214461
202,Control,4/10/2023,4.506950246,-1.480921708,-0.003729956
302,Control,4/10/2023,28.8660675,2.218970637,-0.002896746
404,Control,4/10/2023,6.139415067,-1.710258429,9.87E-05
501,Control,4/10/2023,11.39712834,-0.590802826,-0.002969118
604,Control,4/10/2023,14.06453126,4.368488674,-0.002586365
104,Control,4/17/2023,7.459714281,-1.302239633,-0.001332669
202,Control,4/17/2023,9.480251239,-1.678699525,-0.002640936
302,Control,4/17/2023,30.08934868,-1.835474625,-0.002287674
404,Control,4/17/2023,8.210002893,1.522130002,-0.000779858
501,Control,4/17/2023,17.1672107,0.843656711,-0.001593844
604,Control,4/17/2023,25.01067993,0.431962415,-0.001770969
104,Control,4/25/2023,18.50073933,1.184057285,0.000646873
202,Control,4/25/2023,14.90045193,-0.832113989,0.001493444
302,Control,4/25/2023,36.79165811,-9.243459858,0.001450566
404,Control,4/25/2023,26.63825827,5.710797218,0.001495057
501,Control,4/25/2023,12.41712234,6.199782745,-0.001660152
604,Control,4/25/2023,26.96698099,5.196253754,-0.002034048
103,DAP,4/3/2023,34.98699251,0.573362688,-0.004969951
201,DAP,4/3/2023,27.31259291,-6.224095618,-0.000444508
303,DAP,4/3/2023,34.98699251,0.573362688,-0.004969951
401,DAP,4/3/2023,27.31259291,-6.224095618,-0.000444508
502,DAP,4/3/2023,30.87279895,4.042707229,0.006127425
602,DAP,4/3/2023,30.87279895,4.042707229,0.006127425
103,DAP,4/10/2023,29.22080518,3.802758791,-0.001393493
201,DAP,4/10/2023,8.888180301,4.706972311,0.002593373
303,DAP,4/10/2023,15.40885229,0.523103704,-0.001292477
401,DAP,4/10/2023,27.20774701,-0.85338186,-0.004801179
502,DAP,4/10/2023,11.22372936,0.127832004,-0.001508062
602,DAP,4/10/2023,52.78041992,2.544580459,0.003951658
103,DAP,4/17/2023,29.64859477,-1.128262891,-0.002968295
201,DAP,4/17/2023,2.977670865,-1.13784248,-0.000869369
303,DAP,4/17/2023,11.25240299,0.751320516,-0.003468191
401,DAP,4/17/2023,3.758559297,0.724523631,-0.000390479
502,DAP,4/17/2023,6.636840049,0.766992024,-0.001223016
602,DAP,4/17/2023,41.05700645,2.677121458,0.011214811
103,DAP,4/25/2023,35.96778566,-4.993588988,-0.000673435
201,DAP,4/25/2023,13.87239286,-3.819552428,0.000837443
303,DAP,4/25/2023,18.70104764,4.151494594,-0.001639556
401,DAP,4/25/2023,17.07256474,4.64375884,0.000751489
502,DAP,4/25/2023,17.31930841,-0.06271004,-0.000272377
602,DAP,4/25/2023,56.9115854,13.03741726,0.001304876
101,Struvite,4/3/2023,27.31259291,-6.224095618,-0.000444508
203,Struvite,4/3/2023,34.98699251,0.573362688,-0.004969951
304,Struvite,4/3/2023,18.13833987,1.772316378,0.000846985
403,Struvite,4/3/2023,34.98699251,0.573362688,-0.004969951
503,Struvite,4/3/2023,34.98699251,0.573362688,-0.004969951
601,Struvite,4/3/2023,27.31259291,-6.224095618,-0.000444508
101,Struvite,4/10/2023,27.00930314,-31.97238211,-0.007389039
203,Struvite,4/10/2023,27.87448242,3.123236822,-0.002465809
304,Struvite,4/10/2023,40.29094916,-0.517963981,-0.003526637
403,Struvite,4/10/2023,27.61250467,-4.854094667,-0.002165353
503,Struvite,4/10/2023,16.18883714,-0.641058461,-0.003110752
601,Struvite,4/10/2023,79.7435378,45.62935902,0.032911141
101,Struvite,4/17/2023,4.109389793,-4.077268887,-0.004491742
203,Struvite,4/17/2023,9.456231965,2.233447678,-0.000919498
304,Struvite,4/17/2023,34.05641372,-1.854408783,-0.002477777
403,Struvite,4/17/2023,11.79742577,0.63336576,5.96E-05
503,Struvite,4/17/2023,30.0437177,-0.980050175,0.002154992
601,Struvite,4/17/2023,38.39209986,11.66920677,0.029250597
101,Struvite,4/25/2023,24.1002983,-3.472920317,0.007679781
203,Struvite,4/25/2023,35.82923735,-8.967125753,0.000653232
304,Struvite,4/25/2023,43.65455729,-7.769459722,0.000473838
403,Struvite,4/25/2023,21.29827078,3.538642705,0.001986634
503,Struvite,4/25/2023,34.78271431,-1.646750975,-0.002357023
601,Struvite,4/25/2023,45.78126851,17.1877428,0.01219573
102,Synchro,4/3/2023,30.87279895,4.042707229,0.006127425
204,Synchro,4/3/2023,18.13833987,1.772316378,0.000846985
301,Synchro,4/3/2023,27.31259291,-6.224095618,-0.000444508
402,Synchro,4/3/2023,30.87279895,4.042707229,0.006127425
504,Synchro,4/3/2023,18.13833987,1.772316378,0.000846985
603,Synchro,4/3/2023,34.98699251,0.573362688,-0.004969951
102,Synchro,4/10/2023,1.650018206,0.706693909,-0.001315595
204,Synchro,4/10/2023,22.93112564,-3.523132365,-0.001174723
301,Synchro,4/10/2023,59.99604726,0.636997286,-0.002436199
402,Synchro,4/10/2023,23.31848616,-4.720136453,-0.006348965
504,Synchro,4/10/2023,19.92522704,-0.149036806,-0.00100197
603,Synchro,4/10/2023,5.957577326,4.697676403,-0.001963322
102,Synchro,4/17/2023,4.109389793,-4.044797563,-0.00445597
204,Synchro,4/17/2023,21.26853542,-1.651620998,-0.001544909
301,Synchro,4/17/2023,23.63942846,-2.27568496,-0.000734298
402,Synchro,4/17/2023,25.53234756,0.634336171,-0.002706715
504,Synchro,4/17/2023,25.07690838,0.100172279,0.001298118
603,Synchro,4/17/2023,5.459002871,3.780352272,0.001816671
102,Synchro,4/25/2023,17.92597554,1.85099134,-0.003379374
204,Synchro,4/25/2023,30.09159424,-3.77331874,0.003020058
301,Synchro,4/25/2023,40.48470058,-5.398430434,-0.001091869
402,Synchro,4/25/2023,32.52751388,0.188130119,-0.001931976
504,Synchro,4/25/2023,28.96972735,-1.592983566,-3.21E-05
603,Synchro,4/25/2023,8.191947655,10.83388799,0.000510257
